"complications.hospitals","MORT_30_STK","MORT_30_STK_Standard.Error","COMP_HIP_KNEE","COMP_HIP_KNEE_Standard.Error","MORT_30_CABG","MORT_30_CABG_Standard.Error","PSI_10_POST_KIDNEY","PSI_10_POST_KIDNEY_Standard.Error","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_Standard.Error","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_Standard.Error","PSI_4_SURG_COMP","PSI_4_SURG_COMP_Standard.Error","PSI_6_IAT_PTX","PSI_6_IAT_PTX_Standard.Error","PSI_90_SAFETY","PSI_90_SAFETY_Standard.Error"
50042,"14.4",2.3469387755102,"2.7",0.918367346938775,NA,NA,"1.11",0.489795918367347,"3.53",1.66326530612245,"2.78",1.16326530612245,NA,NA,"0.38",0.147959183673469,"0.91",0.193877551020408
50043,"11.9",1.42857142857143,"3.3",0.918367346938775,"2.5",1.07142857142857,"1.07",0.438775510204082,"4.71",1.27551020408163,"2.06",1.12755102040816,"138.42",21.1836734693878,"0.37",0.13265306122449,"1.13",0.142857142857143
50045,"12.4",1.93877551020408,"2.5",0.918367346938775,NA,NA,"1.09",0.48469387755102,"5.28",1.63265306122449,"2.19",1.16326530612245,NA,NA,"0.36",0.147959183673469,"1.16",0.183673469387755
50047,"13.9",1.58163265306122,"2.8",0.561224489795918,"3.6",1.53061224489796,"0.77",0.403061224489796,"2.58",1.02551020408163,"1.85",1.07142857142857,"140.69",19.5255102040816,"0.46",0.13265306122449,"0.68",0.107142857142857
50054,NA,NA,"2.6",0.86734693877551,NA,NA,"1.12",0.489795918367347,"5.65",1.80102040816327,NA,NA,NA,NA,"0.45",0.153061224489796,"1.04",0.204081632653061
50055,"14.2",2.3469387755102,"3.0",1.22448979591837,NA,NA,"1.09",0.48469387755102,"4.47",1.71428571428571,"2.22",1.16836734693878,NA,NA,"0.38",0.153061224489796,"0.96",0.188775510204082
50056,"17.6",2.3469387755102,"2.8",1.12244897959184,NA,NA,"1.05",0.474489795918367,"4.43",1.41836734693878,"2.10",1.13775510204082,"154.10",21.0408163265306,"0.54",0.142857142857143,"1.17",0.163265306122449
50057,"14.6",1.42857142857143,"2.3",0.612244897959184,"2.1",0.76530612244898,"1.16",0.454081632653061,"2.34",1.15816326530612,"1.98",1.10714285714286,"186.29",19.219387755102,"0.26",0.127551020408163,"0.88",0.137755102040816
50058,"12.6",1.98979591836735,"2.4",0.816326530612245,"3.8",1.98979591836735,"1.22",0.464285714285714,"3.65",1.44387755102041,"2.16",1.1530612244898,"138.78",21.8469387755102,"0.37",0.142857142857143,"0.90",0.158163265306122
50060,"15.7",1.47959183673469,"3.3",1.02040816326531,"2.6",1.12244897959184,"0.92",0.443877551020408,"4.31",1.13265306122449,"2.57",1.11734693877551,"154.59",18.4030612244898,"0.35",0.127551020408163,"0.94",0.127551020408163
